Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checkout with My Account,Chrome 75.0.3770.100,,2019-07-05 11:11:14,2019-07-05 11:13:45,2m - 30.676s,FAILED
,,,,,,
Test Cases/Guest_Login_Checkout,Chrome 75.0.3770.100,,2019-07-05 11:11:15,2019-07-05 11:12:57,1m - 42.734s,FAILED
openBrowser(toString()),Chrome 75.0.3770.100,,2019-07-05 11:11:15,2019-07-05 11:11:20,4.508s,PASSED
"navigateToUrl(""http://18.138.12.239/"")",Chrome 75.0.3770.100,,2019-07-05 11:11:20,2019-07-05 11:11:28,8.462s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-07-05 11:11:28,2019-07-05 11:11:29,1.182s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-05 11:11:29,2019-07-05 11:11:39,10.088s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 75.0.3770.100,,2019-07-05 11:11:39,2019-07-05 11:11:40,0.368s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 75.0.3770.100,,2019-07-05 11:11:40,2019-07-05 11:11:40,0.224s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-05 11:11:40,2019-07-05 11:11:50,10.014s,PASSED
"mouseOver(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_SHOP""))",Chrome 75.0.3770.100,,2019-07-05 11:11:50,2019-07-05 11:11:50,0.108s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_Work Wear""))",Chrome 75.0.3770.100,,2019-07-05 11:11:50,2019-07-05 11:12:03,13.019s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-05 11:12:03,2019-07-05 11:12:08,5.026s,PASSED
"scrollToElement(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""), 5)",Chrome 75.0.3770.100,,2019-07-05 11:12:08,2019-07-05 11:12:08,0.110s,PASSED
"mouseOver(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""))",Chrome 75.0.3770.100,,2019-07-05 11:12:08,2019-07-05 11:12:08,0.084s,PASSED
"click(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""))",Chrome 75.0.3770.100,,2019-07-05 11:12:08,2019-07-05 11:12:14,5.211s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-05 11:12:14,2019-07-05 11:12:24,10.007s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy) (1)/div_L""))",Chrome 75.0.3770.100,,2019-07-05 11:12:24,2019-07-05 11:12:24,0.126s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy)/span_OS_cs-font clever-icon-plus""))",Chrome 75.0.3770.100,,2019-07-05 11:12:24,2019-07-05 11:12:24,0.093s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Softly Edelweiss Swiss Dot Dress (Powder Blue)/button_Add to Cart""))",Chrome 75.0.3770.100,,2019-07-05 11:12:24,2019-07-05 11:12:24,0.156s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy)/span_2                                        2                items""))",Chrome 75.0.3770.100,,2019-07-05 11:12:24,2019-07-05 11:12:55,31.111s,FAILED
,,,,,,
Test Cases/Add Receipt ATM,Chrome 75.0.3770.100,,2019-07-05 11:12:57,2019-07-05 11:13:44,46.837s,FAILED
"click(findTestObject(""My Order/Page_My Orders/img""))",Chrome 75.0.3770.100,,2019-07-05 11:12:58,2019-07-05 11:13:00,2.642s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-05 11:13:00,2019-07-05 11:13:10,10.009s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-b-icon""))",Chrome 75.0.3770.100,,2019-07-05 11:13:10,2019-07-05 11:13:10,0.235s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/li_My Orders""))",Chrome 75.0.3770.100,,2019-07-05 11:13:10,2019-07-05 11:13:42,31.529s,FAILED
