Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checkout with My Account,Chrome 74.0.3729.169,,2019-06-19 11:07:39,2019-06-19 11:10:03,2m - 23.937s,FAILED
,,,,,,
Test Cases/Guest_Login_Checkout,Chrome 74.0.3729.169,,2019-06-19 11:07:39,2019-06-19 11:09:17,1m - 37.497s,FAILED
openBrowser(toString()),Chrome 74.0.3729.169,,2019-06-19 11:07:40,2019-06-19 11:07:45,5.843s,PASSED
"navigateToUrl(""http://18.138.12.239/"")",Chrome 74.0.3729.169,,2019-06-19 11:07:45,2019-06-19 11:07:55,9.169s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-19 11:07:55,2019-06-19 11:07:56,1.159s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-19 11:07:56,2019-06-19 11:08:06,10.024s,PASSED
"check(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/span_concat(Don  t show this popup again)_check""))",Chrome 74.0.3729.169,,2019-06-19 11:08:06,2019-06-19 11:08:06,0.138s,PASSED
"click(findTestObject(""Object Repository/add to cart/Page_Welcome to The Thread Theory  The Thread Theory/button_Close""))",Chrome 74.0.3729.169,,2019-06-19 11:08:06,2019-06-19 11:08:06,0.082s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-19 11:08:06,2019-06-19 11:08:16,10.004s,PASSED
"mouseOver(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_SHOP""))",Chrome 74.0.3729.169,,2019-06-19 11:08:16,2019-06-19 11:08:16,0.110s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Work Wear - DRESSES - SHOP/span_Work Wear""))",Chrome 74.0.3729.169,,2019-06-19 11:08:16,2019-06-19 11:08:25,9.176s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-19 11:08:25,2019-06-19 11:08:30,5.003s,PASSED
"scrollToElement(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""), 5)",Chrome 74.0.3729.169,,2019-06-19 11:08:30,2019-06-19 11:08:30,0.104s,PASSED
"mouseOver(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""))",Chrome 74.0.3729.169,,2019-06-19 11:08:30,2019-06-19 11:08:31,0.073s,PASSED
"click(findTestObject(""Filter_Sort/Page_Work Wear - DRESSES - SHOP/img_Quick View_imgage-additional""))",Chrome 74.0.3729.169,,2019-06-19 11:08:31,2019-06-19 11:08:34,3.933s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-19 11:08:34,2019-06-19 11:08:44,10.005s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy) (1)/div_L""))",Chrome 74.0.3729.169,,2019-06-19 11:08:44,2019-06-19 11:08:45,0.138s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy)/span_OS_cs-font clever-icon-plus""))",Chrome 74.0.3729.169,,2019-06-19 11:08:45,2019-06-19 11:08:45,0.074s,PASSED
"click(findTestObject(""add to cart/menu_cart_mini/Page_Softly Edelweiss Swiss Dot Dress (Powder Blue)/button_Add to Cart""))",Chrome 74.0.3729.169,,2019-06-19 11:08:45,2019-06-19 11:08:45,0.121s,PASSED
"click(findTestObject(""add to cart/Page_Lana Lace Romper (Navy)/span_2                                        2                items""))",Chrome 74.0.3729.169,,2019-06-19 11:08:45,2019-06-19 11:09:17,31.995s,FAILED
,,,,,,
Test Cases/Add Receipt ATM,Chrome 74.0.3729.169,,2019-06-19 11:09:17,2019-06-19 11:10:02,45.446s,FAILED
"click(findTestObject(""My Order/Page_My Orders/img""))",Chrome 74.0.3729.169,,2019-06-19 11:09:17,2019-06-19 11:09:20,2.579s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-19 11:09:20,2019-06-19 11:09:30,10.002s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/span_Start shopping now _login-b-icon""))",Chrome 74.0.3729.169,,2019-06-19 11:09:30,2019-06-19 11:09:30,0.107s,PASSED
"click(findTestObject(""Add Receipt/Page_Welcome to The Thread Theory  The Thread Theory/li_My Orders""))",Chrome 74.0.3729.169,,2019-06-19 11:09:30,2019-06-19 11:10:02,32.482s,FAILED
